,url,title,dataset,used,original-tag,sub-category-tag,sub-category,category
0,https://github.com/openthread/openthread/issues/129,"test: ""fuzzing"" OpenThread to provide robustness and negative stress testing",projects,7.0,FP,None,None,None
1,https://github.com/OpenSC/OpenSC/issues/2262,IASECC: error/regression ACL since oss-fuzz fix,projects,7.0,FP,None,None,None
2,https://github.com/facebook/rocksdb/issues/9379,Build RocksDB fuzz testing,projects,2.0,Developer struggling to set up fuzzer and get build to pass,F16,"Developers have difficulties in setting up, building or using fuzzer.",Usability
3,https://github.com/cosmos/cosmos-sdk/issues/8553,all: setup steps for inclusion into oss-fuzz for scalable and continuous fuzzing,projects,3.0,Fuzzing on local machine uses too much resources (developer look at alternative options such as deploying to oss-fuzz),F4,"Fuzzing process takes too much time or resouces (e.g., memory, CPU, disk spaces).",Performance
4,https://github.com/libvips/libvips/issues/2545,Add jxlsave fuzzer,projects,5.0,FP,None,None,None
5,https://github.com/FasterXML/jackson-core/issues/685,OSS-Fuzz integration,projects,3.0,FP,None,None,None
6,https://github.com/ethereum/solidity/issues/7147,[Abiv2encoder fuzzing] Test decode(encode(T)),projects,6.0,FP,None,None,None
7,https://github.com/llvm/llvm-project/issues/43634,Investigate `nan` returning random distributions in fuzzing tests.,projects,2.0,FP,None,None,None
8,https://github.com/dart-lang/sdk/issues/38505,Analyzer fuzz crash: invoking extension override with no call method,projects,8.0,FP,None,None,None
9,https://github.com/llvm/llvm-project/issues/42444,clang-10 segmentation fault with afl-llvm-pass,projects,1.0,Fuzzer shows passing but crash happens (False Negative Detection),F8,Bugs in fuzzer lead to build failures or abnormal/inconsistent fuzzing behaviors. ,Reliability
10,https://github.com/cosmos/cosmos-sdk/issues/2225,"Randomized fuzzer: expected to find slashing period, but none was found ",projects,8.0,FP,None,None,None
11,https://github.com/simdjson/simdjson/issues/43,Add fuzz testing,projects,8.0,FP,None,None,None
12,https://github.com/SerenityOS/serenity/issues/4220,LibMarkdown: OOM when loading fuzzed MD file,projects,1.0,FP,None,None,None
